borough,neighborhood,building_class_category,tax_class_at_present,block,lot,easement,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_sqft,gross_sqft,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,borough_name,source_file,tax_class_as_of_final_roll_17/18,building_class_as_of_final_roll_17/18,tax_class_as_of_final_roll_18/19,building_class_as_of_final_roll_18/19,borough_str,pop_density,avg_income,gdp_local,dist_center,amenity_score,is_residential,price_per_sqft_real,sale_date_parsed,sale_month,borough_clean,sale_year,building_age
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1284.0,26.0, ,O4,33 EAST 48TH   STREET                    ,            ,10017.0,0.0,0.0,0.0,35200.0,799456.0,1968.0,4.0,O4,1279800000.0,2007-11-19,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.0,,1600.8385702277549,,,1,,
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,1004.0,29.0, ,O4,1285 AVENUE OF THE AMER                  ,            ,10019.0,0.0,77.0,77.0,80333.0,1613847.0,1961.0,4.0,O4,1279624000.0,2016-05-20,Unknown,2016_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,792.9029207849319,,,1,,
1.0,MIDTOWN WEST             ,21  OFFICE BUILDINGS                        ,4,1267.0,1.0, ,O4,1290 6 AVENUE                            ,            ,10019.0,0.0,1.0,1.0,89775.0,1897491.0,1963.0,4.0,O4,1246450000.0,2006-04-26,Unknown,sales_manhattan_06.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,656.8937612879323,,,1,,
1.0,FINANCIAL                ,21  OFFICE BUILDINGS                        ,4,40.0,3.0, ,O4,60 WALL STREET                           ,            ,10005.0,0.0,1.0,1.0,53632.0,1617206.0,1987.0,4.0,O4,1180000000.0,2007-06-06,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,729.6534887948721,2007-06-06,6.0,1,2007.0,20.0
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1284.0,26.0, ,O4,33 EAST 48 STREET                        ,            ,10017.0,0.0,0.0,0.0,35200.0,799456.0,1968.0,4.0,O4,1178617310.0,2006-06-06,Unknown,sales_manhattan_06.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.0,,1474.2741439178642,2006-06-06,6.0,1,2006.0,38.0
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1300.0,1.0, ,O3,230 PARK AVENUE                          ,            ,10017.0,0.0,1.0,1.0,69153.0,1212596.0,1929.0,4.0,O3,1150000000.0,2007-12-24,Unknown,sales_2007_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,948.3785201336636,,,1,,
1.0,KIPS BAY                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,978.0,1.0, ,D6,3 PETER COOPER ROAD                      ,            ,10009.0,2491.0,7.0,2498.0,828650.0,3122165.0,1947.0,2.0,D6,1110044237.0,2014-06-03,Unknown,2014_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,355.53669873309065,2014-03-06,3.0,1,2014.0,67.0
1.0,MIDTOWN CBD              ,21  OFFICE BUILDINGS                        ,4,1291.0,10.0, ,O4,550 MADISON AVENUE                       ,            ,10022.0,0.0,8.0,8.0,36803.0,827686.0,1983.0,4.0,O4,1100000000.0,2013-03-15,Unknown,2013_manhattan.xls,1,D4,1,D4,1.0,72000,88000,6.8,2.0,6.2,,1329.0064106436498,,,1,,
1.0,MIDTOWN CBD,22 STORE BUILDINGS,4,1292.0,64.0, ,K2,8 EAST 57 STREET,            ,10022.0,0.0,1.0,1.0,5020.0,26983.0,1996.0,4.0,K2,1080000000.0,2025-08-14,Unknown,2025_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,40025.20105251455,,,1,,
1.0,MIDTOWN CBD,22 STORE BUILDINGS,4,1292.0,8.0, ,K2,9 EAST 56 STREET,            ,10022.0,0.0,1.0,1.0,5020.0,26983.0,1996.0,4.0,K2,1080000000.0,2025-08-14,Unknown,2025_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,40025.20105251455,,,1,,
1.0,MIDTOWN CBD,21 OFFICE BUILDINGS,4,1292.0,15.0, ,O4,590 MADISON AVENUE,            ,10022.0,0.0,80.0,80.0,39162.0,999646.0,1981.0,4.0,O4,1080000000.0,2025-08-14,Unknown,2025_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,10.0,,1080.3824553892075,,,1,,
1.0,FINANCIAL,21 OFFICE BUILDINGS                        ,1,40.0,3.0, ,D4,60 WALL STREET, ,10005.0,0.0,1.0,1.0,53632.0,1617206.0,1987.0,4.0,O4,1040000000.0,2017-01-24,Unknown,2017_manhattan.xls,4,O4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,643.0844308022602,,,1,,
1.0,JAVITS CENTER,43 CONDO OFFICE BUILDINGS,4,732.0,1001.0, ,RB,"441 NINTH AVENUE, 1",1,10001.0,1.0,1.0,1.0,2000.0,1392.0,1962.0,4.0,RB,1033000000.0,2021-12-17,Unknown,2021_manhattan.xlsx,1,D4,1,D4,1.0,72000,88000,6.8,2.0,5.15,,742097.7011494252,,,1,,
